2006\Film School - Pitfalls.mp3,2006\15_Pitfalls - Film School.mp3,0,,
2011\Discoverer-R.E.M..mp3,2010\R.E.M.-Discoverer.mp3,1,,
2011\Down By The Water-The Decemberists.mp3,2011\Down By The Water-Decemberists.mp3,1,,
2011\Follow The Leader-Sloan.mp3,2011\Follow The Leader - Sloan.mp3,0,,
2011\He Gets Me High-Dum Dum Girls.mp3,2011\He Gets Me High - Dum Dum Girls.mp3,0,,
2011\I Wanna Do It-Sonny & The Sunsets.mp3,2011\I Wanna Do It - Sonny and the Sunsets.mp3,0,,
2011\Summers Gone - The Wrong Words.mp3,2011\Summer's Gone-The Wrong Words.mp3,0,,
Agony Aunts\Big Cinnamon\Agony Aunts - Big Cinnamon - 02 Family Drugs.mp3,2013\07-Family Drugs.mp3,0,,
Alison Faith Levy\The Start of Things\4. Rainbow Tunnel.mp3,2015\Rainbow Tunnel-Alison Faith Levy.mp3,-1,,
Andrea Perry\Four\Andrea Perry - Four - 07 Nothing Hurts Like This.mp3,2013\14-Nothing Hurts Like This.mp3,-1,,
Anna Hillburg\Anna Hillburg\2. Wine in a Tea Cup.mp3,2013\23-Wine in a Tea Cup.mp3,-1,,
Anny Celsi\January\2. Travelogue.mp3,2013\19-Travelogue.mp3,-1,,
Arcade Fire\The Suburbs\06_City With No Children.mp3,2010\2010mixA\City With No Children.mp3,0,,
Army Navy\Army Navy\04_Slight of Hand.mp3,2008\Mixes\PC\26 Slight of Hand.mp3,1,,
Army Navy\The Last Place\02_Ode to Janice Melt.mp3,2011\Ode to Janice Melt-Army Navy.mp3,0,,
Asylum Street Spankers\Christmas Spanking\14_Trim Your Tree - Copy.mp3,Asylum Street Spankers\Christmas Spanking\14_Trim Your Tree - Copy - Copy.mp3,1,,
Asylum Street Spankers\Christmas Spanking\14_Trim Your Tree.mp3,Asylum Street Spankers\Christmas Spanking\14_Trim Your Tree - Copy.mp3,1,,
Best Coast\Fade Away\01_This Lonely Morning.mp3,2013\18-This Lonely Morning.mp3,-1,,
Bob Dylan\Blonde on Blonde [Remastered 1-CD]\Bob Dylan-I Want You.mp3,Bob Dylan\Blonde on Blonde [Remastered 1-CD]\05-I Want You.mp3,0,,
Bob Dylan\Blonde on Blonde [Remastered 1-CD]\Bob Dylan-Obviously 5 Believers.mp3,Bob Dylan\Blonde on Blonde [Remastered 1-CD]\13-Obviously 5 Believers.mp3,0,,
Brendan Benson\What Kind of World\01_Here in the Deadlights.mp3,2012\Here in the Deadlights - Brendan Benson.mp3,-1,,
Camper Van Beethoven\Northern California Girls\01_Northern California Girls.mp3,2013\13-Northern California Girls.mp3,-1,,
Cheap Star\Rosetta Stone EP\01-04- Kelly Slayer.mp3,Amazon MP3\Cheap Star\Rosetta Stone EP\01-04- Kelly Slayer.mp3,1,,
chills\The BBC Sessions\Chills_01_Rolling Moon (12-11-1985).mp3,Chills\The BBC Sessions\Chills_01_Rolling Moon (12-11-1985).mp3,0,,
chills\The BBC Sessions\Chills_02_Brave Words (12-11-1985).mp3,Chills\The BBC Sessions\Chills_02_Brave Words (12-11-1985).mp3,0,,
chills\The BBC Sessions\Chills_03_Wet Blanket (12-11-1985).mp3,Chills\The BBC Sessions\Chills_03_Wet Blanket (12-11-1985).mp3,0,,
chills\The BBC Sessions\Chills_04_Night of Chill Blue (12-11-1985).mp3,Chills\The BBC Sessions\Chills_04_Night of Chill Blue (12-11-1985).mp3,0,,
chills\The BBC Sessions\Chills_05_Dan Destiny & The Silver Dawn (05-04-1987).mp3,Chills\The BBC Sessions\Chills_05_Dan Destiny & The Silver Dawn (05-04-1987).mp3,0,,
chills\The BBC Sessions\Chills_06_Living in a Jungle (05-04-1987).mp3,Chills\The BBC Sessions\Chills_06_Living in a Jungle (05-04-1987).mp3,0,,
chills\The BBC Sessions\Chills_07_Rain (05-04-1987).mp3,Chills\The BBC Sessions\Chills_07_Rain (05-04-1987).mp3,0,,
chills\The BBC Sessions\Chills_08_Moonlight on Flesh (05-04-1987).mp3,Chills\The BBC Sessions\Chills_08_Moonlight on Flesh (05-04-1987).mp3,0,,
